,,,,,,,,,
,,,,,,,,,
日期,開盤,最高,最低,收盤,漲跌,漲%,成交量,成交金額,本益比
2002/03/27,186,186,186,186,12,0.069,1,186,180.58
2002/03/28,199,199,199,199,13,0.0699,1,199,193.2
2002/03/29,212,212,212,212,13,0.0653,1,212,28.12
2002/04/01,226,226,226,226,14,0.066,97,21922,29.97
2002/04/02,241,241,241,241,15,0.0664,165,39787,31.96
2002/04/03,257,257,257,257,16,0.0664,236,60724,34.08
2002/04/04,274,274,258,270,13,0.0506,5402,1462507,35.81
2002/04/08,265,265,252,252,-18,-0.0667,720,184084,33.42
2002/04/09,250,258,250,250,-2,-0.0079,1360,341119,33.16
2002/04/10,250,254,250,250,0,0,738,184781,33.16
2002/04/11,251,254,250,251,1,0.004,755,189270,33.29
2002/04/12,250,268,250,262,11,0.0438,844,219844,34.75
2002/04/15,267,267,252,254,-8,-0.0305,390,101080,33.69
2002/04/16,251,254,250,251,-3,-0.0118,343,85951,33.29
2002/04/17,258,258,251,252,1,0.004,276,70149,33.42
2002/04/18,254,261,251,251,-1,-0.004,714,182486,33.29
2002/04/19,253,253,250,250,-1,-0.004,407,101898,33.16
2002/04/22,250,252,250,250,0,0,299,74887,33.16
2002/04/23,250,258,250,252,2,0.008,268,67786,33.42
2002/04/24,252,255,251,251,-1,-0.004,110,27857,33.29
2002/04/25,251,251,234,234,-17,-0.0677,683,161950,31.03
2002/04/26,218,231,218,224,-10,-0.0427,591,133764,29.71
2002/04/29,224,228,221,226,2,0.0089,633,141603,29.97
2002/04/30,228,228,224,226,0,0,215,48447,29.97
2002/05/02,226,227,211,220,-6,-0.0265,793,170918,29.18
2002/05/03,220,227,210,224,4,0.0182,399,87056,29.71
2002/05/06,220,220,210,216,-8,-0.0357,368,78557,28.65
2002/05/07,213,216,210,211,-5,-0.0231,374,80043,27.98
2002/05/08,215,216,202,209,-2,-0.0095,392,81661,27.72
2002/05/09,215,217,212,215,6,0.0287,455,97597,28.51
2002/05/10,215,218,214,216,1,0.0047,281,60492,28.65
2002/05/13,214,214,208,208,-8,-0.037,98,20580,27.59
2002/05/14,210,212,199,201,-7,-0.0337,223,45250,26.66
2002/05/15,203,204,199,200,-1,-0.005,276,55260,26.53
2002/05/16,200,200,186,186,-14,-0.07,729,137124,24.67
2002/05/17,192,192,187,188,2,0.0108,140,26564,24.93
2002/05/20,188,188,180,186,-2,-0.0106,152,27923,24.67
2002/05/21,185,185,176,180,-6,-0.0323,97,17453,23.87
2002/05/22,180,183,177,182,2,0.0111,148,26700,24.14
2002/05/23,178,181,177,179,-3,-0.0165,179,32116,23.74
2002/05/24,181,185,178,182,3,0.0168,231,42143,24.14
2002/05/27,180,190,180,186,4,0.022,218,40682,24.67
2002/05/28,189,189,181,182,-4,-0.0215,156,28999,24.14
2002/05/29,180,181,171,173,-9,-0.0495,170,29757,22.94
2002/05/30,173,176,167,167,-6,-0.0347,175,29888,22.15
2002/05/31,167,175,167,172,5,0.0299,126,21733,22.81
2002/06/03,172,174,170,170,-2,-0.0116,103,17699,22.55
2002/06/04,169,175,168,173,3,0.0176,107,18239,22.94
2002/06/05,175,180,173,180,7,0.0405,222,39004,23.87
2002/06/06,180,192,179,191,11,0.0611,532,100385,25.33
2002/06/07,185,198,180,180,-11,-0.0576,422,79789,23.87
2002/06/10,150,150,150,150,-30,-0.1667,51,7650,19.89
2002/06/11,156,157,151,152,2,0.0133,224,34482,25.68
2002/06/12,152,152,141.5,145,-7,-0.0461,81,11814,24.49
2002/06/13,145,152,143,150,5,0.0345,290,43132,25.34
2002/06/14,145.5,146.5,145.5,146,-4,-0.0267,14,2042,24.66
2002/06/17,149,149,143,143,-3,-0.0205,40,5880,24.16
2002/06/18,147,150,146,148,5,0.035,95,14022,25
2002/06/19,142,145,142,143,-5,-0.0338,14,2021,24.16
2002/06/20,148,148,141,147,4,0.028,23,3360,24.83
2002/06/21,145,147,143,146,-1,-0.0068,12,1753,24.66
2002/06/24,140,142,136,136,-10,-0.0685,316,43710,22.97
2002/06/25,126.5,130,126.5,127,-9,-0.0662,205,26388,21.45
2002/06/26,121,123,118.5,120,-7,-0.0551,347,41982,20.27
2002/06/27,126,126,115,116,-4,-0.0333,314,36921,19.59
2002/06/28,115,116,112,115,-1,-0.0086,270,30776,19.43
2002/07/01,111,112,107,107,-8,-0.0696,87,9435,18.07
2002/07/02,102,105,100,100,-7,-0.0654,167,17054,16.89
2002/07/03,97.5,100,94.5,98.5,-1.5,-0.015,228,22108,16.64
2002/07/04,99,105,99,105,6.5,0.066,302,31286,17.74
2002/07/05,103.5,112,103.5,112,7,0.0667,258,28128,18.92
2002/07/08,116,119.5,115,118,6,0.0536,223,26190,19.93
2002/07/09,117,117,114,115,-3,-0.0254,164,18923,19.43
2002/07/10,112.5,114,110,112,-3,-0.0261,153,17142,18.92
2002/07/11,108.5,115.5,108,114,2,0.0179,213,24138,19.26
2002/07/12,117.5,118,110.5,117,3,0.0263,167,19383,19.76
2002/07/15,116,120,115,118,1,0.0085,201,23678,19.93
2002/07/16,122,122,118,118,0,0,209,24968,19.93
2002/07/17,118,118,114,114,-4,-0.0339,137,15946,19.26
2002/07/18,114,120,114,118.5,4.5,0.0395,142,16734,20.02
2002/07/19,117.5,122,117,122,3.5,0.0295,189,22724,20.61
2002/07/22,117,130.5,114,126,4,0.0328,385,47778,21.28
2002/07/23,130,133,126,133,7,0.0556,392,51068,22.47
2002/07/24,135,135,124,129,-4,-0.0301,295,37869,21.79
2002/07/25,135,135,128,128.5,-0.5,-0.0039,164,21517,21.71
2002/07/26,125,125,122,122,-6.5,-0.0506,106,13111,20.61
2002/07/29,122,129,122,128,6,0.0492,90,11444,21.62
2002/07/30,135,135,130,130,2,0.0156,128,16964,21.96
2002/07/31,135,135,125,125.5,-4.5,-0.0346,167,21312,21.2
2002/08/01,129,131,126,126.5,1,0.008,153,19607,21.37
2002/08/02,126.5,126.5,122,123,-3.5,-0.0277,201,24721,20.78
2002/08/05,116,120,114.5,119,-4,-0.0325,207,24373,20.1
2002/08/06,116.5,119,116.5,118,-1,-0.0084,67,7898,19.93
2002/08/07,122,123,120.5,121,3,0.0254,120,14540,20.44
2002/08/08,121,121,116,118,-3,-0.0248,57,6796,19.93
2002/08/09,122,124,117,117.5,-0.5,-0.0042,248,29825,19.85
2002/08/12,119,121.5,117.5,119.5,2,0.017,118,14061,20.19
2002/08/13,122,122,120,120.5,1,0.0084,211,25570,20.35
2002/08/14,120,120,119,119,-1.5,-0.0124,94,11225,20.1
2002/08/15,120,122,120,122,3,0.0252,192,23295,20.61
2002/08/16,123,123,119,119,-3,-0.0246,94,11334,20.1
2002/08/19,119,124,119,121,2,0.0168,267,32571,20.44
2002/08/20,120.5,122,118.5,119.5,-1.5,-0.0124,129,15469,20.19
2002/08/21,119.5,119.5,117,117,-2.5,-0.0209,43,5089,19.76
2002/08/22,117,119,115,115,-2,-0.0171,169,19866,19.43
2002/08/23,107,107,107,107,-8,-0.0696,231,24717,18.07
2002/08/26,100,104.5,100,104,-3,-0.028,503,50921,17.57
2002/08/27,104,107,104,106.5,2.5,0.024,259,27267,17.99
2002/08/28,105,111,104.5,106.5,0,0,544,58280,17.99
2002/08/29,108,109.5,107,108.5,2,0.0188,503,54339,18.33
2002/08/30,109,111,108.5,111,2.5,0.023,246,26964,22.24
2002/09/02,112,113,109.5,112,1,0.009,398,44424,22.44
2002/09/03,104.5,115,104.5,113.5,1.5,0.0134,462,50335,22.75
2002/09/04,111,113,111,113,-0.5,-0.0044,80,8979,22.65
2002/09/05,113,113.5,111,111,-2,-0.0177,209,23200,22.24
2002/09/09,108,114.5,108,114.5,3.5,0.0315,332,36582,22.95
2002/09/10,115,116,113,114,-0.5,-0.0044,169,19318,22.85
2002/09/11,114,114,109,109,-5,-0.0439,230,25446,21.84
2002/09/12,108,109.5,108,108.5,-0.5,-0.0046,305,33035,21.74
2002/09/13,108.5,109.5,105,109.5,1,0.0092,178,19164,21.94
2002/09/16,109.5,111,108,110.5,1,0.0091,175,19179,22.14
2002/09/17,110,112.5,110,112.5,2,0.0181,237,26417,22.55
2002/09/18,111.5,115,111.5,114.5,2,0.0178,166,18869,22.95
2002/09/19,113.5,115,112.5,112.5,-2,-0.0175,69,7824,22.55
2002/09/20,112.5,115,112,115,2.5,0.0222,186,21229,23.05
2002/09/23,117,118,115,115.5,0.5,0.0043,1328,153445,23.15
2002/09/24,113.5,115,112.5,114,-1.5,-0.013,103,11713,22.85
2002/09/25,114,115,111.5,113,-1,-0.0088,99,11217,22.65
2002/09/26,113,114.5,112.5,114,1,0.0088,42,4791,22.85
2002/09/27,115,115.5,111.5,115.5,1.5,0.0132,77,8804,23.15
2002/09/30,112,114,112,114,-1.5,-0.013,50,5617,22.85
2002/10/01,115,115,112,113,-1,-0.0088,91,10391,22.65
2002/10/02,114,116,113.5,115,2,0.0177,117,13493,23.05
2002/10/03,115,116.5,114,116.5,1.5,0.013,188,21703,23.35
2002/10/04,116,117.5,115.5,116.5,0,0,200,23349,23.35
2002/10/07,116,116,109,109,-7.5,-0.0644,154,17199,21.84
2002/10/08,108.5,113,106,113,4,0.0367,128,14137,22.65
2002/10/09,113,113,109,110.5,-2.5,-0.0221,155,17240,22.14
2002/10/11,111,112.5,108,110,-0.5,-0.0045,168,18527,22.04
2002/10/14,110,112,110,110.5,0.5,0.0045,61,6755,22.14
2002/10/15,111.5,115.5,111.5,113.5,3,0.0271,204,23149,22.75
2002/10/16,114.5,115,110.5,112,-1.5,-0.0132,136,15213,22.44
2002/10/17,112,114,110.5,112.5,0.5,0.0045,150,16950,22.55
2002/10/18,114.5,114.5,112,113,0.5,0.0044,207,23359,22.65
2002/10/21,114,116.5,113.5,114,1,0.0088,232,26773,22.85
